Code,SECTIONNO,TITLE,FACULTY,CREDITS,INSTRUCTORFULLNAME,SCHEDULEFORPRINT
"
IBUS204,B,Uluslararası İşletme,İşletme Fakültesi,6,ZEYNEP KABADAYI KUŞCU,"Salı | 13:40 - 16:30
"
IBUS301,A,İhracat ve İthalat Yönetimi,İşletme Fakültesi,6,NESİM AVİĞDOR,"Pazartesi | 11:40 - 14:30
"
IBUS305,A,Uluslararası Lojistik ,İşletme Fakültesi,6,ARİF ORÇUN SÖYLEMEZ,"Pazartesi | 08:40 - 11:30
"
IBUS306,A,Çok Uluslu Şirketlerin Yönetimi,İşletme Fakültesi,6,ARİF ORÇUN SÖYLEMEZ,"Pazartesi | 14:40 - 17:30
"
IBUS307,A,Uluslararası İşletme ve Ticaret Hukuku,İşletme Fakültesi,4,GÜLFER MERİÇ,"Perşembe | 11:40 - 14:30
"
IBUS402,A,Küresel Stratejik Yönetim,İşletme Fakültesi,6,MEHMET ERDEM GENÇ,"Çarşamba | 11:40 - 14:30
"
IBUS404,A,Küresel İşletme Entegrasyonu,İşletme Fakültesi,6,MEHMET ERDEM GENÇ,"Salı | 10:40 - 13:30
"
IBUS406,A,Küresel Rekabetçi Stratejisi ve Dinamikleri,İşletme Fakültesi,6,NİLÜFER YAPICI,"Perşembe | 10:40 - 13:30
"
IBUS411,A,Doğrudan Dış Yatırım için Ülke Analizi,İşletme Fakültesi,6,İLAYDA NEMLİOĞLU ÖNCÜ,"Cuma | 08:40 - 11:30
"
MGMT202,A,Örgütler,İşletme Fakültesi,6,NERİMAN GÖKÇAY,"Cuma | 09:40 - 12:30
"
MGMT202,B,Örgütler,İşletme Fakültesi,6,AYBİKE MERGEN,"Çarşamba | 09:40 - 12:30
"
MGMT202,C,Örgütler,İşletme Fakültesi,6,AYBİKE MERGEN,"Cuma | 09:40 - 12:30
"
MGMT202,D,Örgütler,İşletme Fakültesi,6,CEYDA MADEN EYİUSTA,"Çarşamba | 09:40 - 12:30
