code,SECTIONNO,TITLE,FACULTY,CREDITS,INSTRUCTORFULLNAME,SCHEDULEFORPRINT
"
ARCH202,A,Mimari Tasarım Stüdyosu III,Mimarlık ve Tasarım Fakültesi,8,İLKER FATİH ÖZORHON,"Pazartesi | 08:40 - 12:30
Perşembe | 08:40 - 12:30
"
ARCH202,B,Mimari Tasarım Stüdyosu III,Mimarlık ve Tasarım Fakültesi,8,NEVŞET GÜL ÇANAKÇIOĞLU,"Pazartesi | 08:40 - 12:30
Perşembe | 08:40 - 12:30
"
ARCH205,A,Yapı Bilgisi ve Malzeme,Mimarlık ve Tasarım Fakültesi,5,TUĞBA GÜLFEM KAYA,"Pazartesi | 13:40 - 15:30
Perşembe | 13:40 - 16:30
"
ARCH205,B,Yapı Bilgisi ve Malzeme,Mimarlık ve Tasarım Fakültesi,5,GÜLTEN ASLIHAN ÜNLÜ,"Pazartesi | 13:40 - 15:30
Perşembe | 13:40 - 16:30
"
ARCH207,A,Statik ve Mukavemet,Mimarlık ve Tasarım Fakültesi,5,ÖMER KARADAĞ,"Çarşamba | 13:40 - 16:30
"
ARCH207,B,Statik ve Mukavemet,Mimarlık ve Tasarım Fakültesi,5,ÖMER KARADAĞ,"Çarşamba | 09:40 - 12:30
"
ARCH209,A,Mimarlık Tarihi I,Mimarlık ve Tasarım Fakültesi,3,ZEHRA TONBUL,"Salı | 09:40 - 11:30
"
ARCH209,B,Mimarlık Tarihi I,Mimarlık ve Tasarım Fakültesi,3,AYŞE BİKE BAYKARA,"Salı | 09:40 - 11:30
"
ARCH210,A,Mimarlık Tarihi II,Mimarlık ve Tasarım Fakültesi,3,LUCA ORLANDI,"Salı | 13:40 - 15:30
"
ARCH212,A,Çevre Analizi ve Sürdürülebilir Peyzaj Tasarımı,Mimarlık ve Tasarım Fakültesi,3,DOĞA DİNEMİS AMAN,"Cuma | 08:40 - 11:30
"
ARCH212,B,Çevre Analizi ve Sürdürülebilir Peyzaj Tasarımı,Mimarlık ve Tasarım Fakültesi,3,BEYZA ŞAT,"Cuma | 08:40 - 11:30
"
ARCH212,C,Çevre Analizi ve Sürdürülebilir Peyzaj Tasarımı,Mimarlık ve Tasarım Fakültesi,3,ABDULKADİR KAAN ÖZGÜN,"Cuma | 08:40 - 11:30
"
ARCH301,A,Mimari Tasarım Stüdyosu  IV,Mimarlık ve Tasarım Fakültesi,8,İLKER FATİH ÖZORHON,"Pazartesi | 08:40 - 12:30
Perşembe | 08:40 - 12:30
"
ARCH301,B,Mimari Tasarım Stüdyosu  IV,Mimarlık ve Tasarım Fakültesi,8,NEVŞET GÜL ÇANAKÇIOĞLU,"Pazartesi | 08:40 - 12:30
Perşembe | 08:40 - 12:30
"
ARCH301,C,Mimari Tasarım Stüdyosu  IV,Mimarlık ve Tasarım Fakültesi,8,ASLI AĞIRBAŞ,"Pazartesi | 08:40 - 12:30
Perşembe | 08:40 - 12:30
"
ARCH301,D,Mimari Tasarım Stüdyosu  IV,Mimarlık ve Tasarım Fakültesi,8,LUCA ORLANDI,"Pazartesi | 08:40 - 12:30
Perşembe | 08:40 - 12:30
"
ARCH301,E,Mimari Tasarım Stüdyosu  IV,Mimarlık ve Tasarım Fakültesi,8,IŞILAY TEKÇE,"Pazartesi | 08:40 - 12:30
Perşembe | 08:40 - 12:30
"
ARCH301,F,Mimari Tasarım Stüdyosu  IV,Mimarlık ve Tasarım Fakültesi,8,NEVŞET GÜL ÇANAKÇIOĞLU,"Pazartesi | 08:40 - 12:30
Perşembe | 08:40 - 12:30
"
ARCH302,A,Mimari Tasarım Stüdyosu  V,Mimarlık ve Tasarım Fakültesi,8,GÜLTEN ASLIHAN ÜNLÜ,"Pazartesi | 08:40 - 12:30
Perşembe | 08:40 - 12:30
"
ARCH302,B,Mimari Tasarım Stüdyosu  V,Mimarlık ve Tasarım Fakültesi,8,VEHBİ TOSUN,"Pazartesi | 08:40 - 12:30
Perşembe | 08:40 - 12:30
"
ARCH303,A,Kentsel Planlama ve Tasarım,Mimarlık ve Tasarım Fakültesi,5,MEHMET SANER,"Salı | 13:40 - 17:30
"
ARCH303,B,Kentsel Planlama ve Tasarım,Mimarlık ve Tasarım Fakültesi,5,ABDULKADİR KAAN ÖZGÜN,"Salı | 13:40 - 17:30
"
ARCH303,C,Kentsel Planlama ve Tasarım,Mimarlık ve Tasarım Fakültesi,5,TOLGA KAYACAN,"Salı | 13:40 - 17:30
"
ARCH304,A,Mimari Koruma ve Rölöve,Mimarlık ve Tasarım Fakültesi,5,AYŞE CEREN BİLGE,"Çarşamba | 13:40 - 17:30
"
ARCH305,A,Fiziksel Çevre Kontrolü,Mimarlık ve Tasarım Fakültesi,5,İDİL ERDEMİR KOCAGİL,"Salı | 08:40 - 12:30
Salı | 08:40 - 12:30
"
ARCH305,B,Fiziksel Çevre Kontrolü,Mimarlık ve Tasarım Fakültesi,5,FERHAN HASMADEN,"Salı | 08:40 - 12:30
Salı | 08:40 - 12:30
"
ARCH305,C,Fiziksel Çevre Kontrolü,Mimarlık ve Tasarım Fakültesi,5,BEGÜM DİKER,"Salı | 08:40 - 12:30
Salı | 08:40 - 12:30
"
ARCH401,A,Mimari Tasarım Stüdyosu VI,Mimarlık ve Tasarım Fakültesi,8,ALPER ÜNLÜ,"Pazartesi | 08:40 - 12:30
Perşembe | 08:40 - 12:30
"
ARCH401,B,Mimari Tasarım Stüdyosu VI,Mimarlık ve Tasarım Fakültesi,8,MURAT ŞAHİN,"Pazartesi | 08:40 - 12:30
Perşembe | 08:40 - 12:30
"
ARCH401,C,Mimari Tasarım Stüdyosu VI,Mimarlık ve Tasarım Fakültesi,8,MEHMET SANER,"Pazartesi | 08:40 - 12:30
Perşembe | 08:40 - 12:30
"
ARCH401,D,Mimari Tasarım Stüdyosu VI,Mimarlık ve Tasarım Fakültesi,8,ZEHRA TONBUL,"Pazartesi | 08:40 - 12:30
Perşembe | 08:40 - 12:30
"
ARCH402,A,Mezuniyet Projesi,Mimarlık ve Tasarım Fakültesi,12,ALPER ÜNLÜ,
ARCH402,B,Mezuniyet Projesi,Mimarlık ve Tasarım Fakültesi,12,NEVŞET GÜL ÇANAKÇIOĞLU,
ARCH403,A,Yapım Yönetim ve Ekonomisi,Mimarlık ve Tasarım Fakültesi,5,IŞILAY TEKÇE,"Salı | 08:40 - 12:30
"
ARCH403,B,Yapım Yönetim ve Ekonomisi,Mimarlık ve Tasarım Fakültesi,5,VEHBİ TOSUN,"Pazartesi | 13:40 - 17:30
"
ARCH434,A,Parametrik Tasarım,Mimarlık ve Tasarım Fakültesi,3,MEHMET EMİN BAYRAKTAR,"Çarşamba | 09:40 - 12:30
"
ARCH445,A,İslam Mimarisi,Mimarlık ve Tasarım Fakültesi,3,MELİS TANER,"Perşembe | 13:40 - 16:30
"
ARCH446,A,Mimari Yenileme ve Yeniden Kullanım,Mimarlık ve Tasarım Fakültesi,3,AYŞE CEREN BİLGE,"Salı | 13:40 - 16:30
"
ARCH451,A,"Kent, Peyzaj ve Form",Mimarlık ve Tasarım Fakültesi,3,DOĞA DİNEMİS AMAN,"Cuma | 14:40 - 17:30
"
ARCH466,A,Mimarlıkta Karma Sunum Teknikleri,Mimarlık ve Tasarım Fakültesi,3,MUSTAFA BATU KEPEKCİOĞLU,"Salı | 09:40 - 12:30
"
ARCH468,A,Eskiz Teknikleri,Mimarlık ve Tasarım Fakültesi,3,İLKER FATİH ÖZORHON,"Pazartesi | 13:40 - 16:30
"
ARCH469,A,Yapay Zeka ve Mimarlık,Mimarlık ve Tasarım Fakültesi,3,ASLI AĞIRBAŞ,"Pazartesi | 13:40 - 16:30
"
ARCH470,A,Tasarımda Yaratıcı Stratejiler,Mimarlık ve Tasarım Fakültesi,3,VEHBİ TOSUN,"Perşembe | 13:40 - 16:30
"
ARCH472,A,"Sinema, Mekân ve Mimarlık",Mimarlık ve Tasarım Fakültesi,5,MAHMUT ŞENOL,"Cuma | 09:40 - 12:30
"
COD101,A,İletişim Tasarımına Giriş,Mimarlık ve Tasarım Fakültesi,3,ESER SELEN,"Pazartesi | 13:40 - 16:30
"
COD101,B,İletişim Tasarımına Giriş,Mimarlık ve Tasarım Fakültesi,3,ESER SELEN,"Çarşamba | 13:40 - 16:30
"
COD102,A,İletişim Uygulamaları,Mimarlık ve Tasarım Fakültesi,8,ESER SELEN,"Cuma | 08:40 - 12:30
Cuma | 08:40 - 12:30
Cuma | 14:40 - 18:30
Cuma | 14:40 - 18:30
"
COD103,A,Grafik Tasarım Araçları,Mimarlık ve Tasarım Fakültesi,5,SALİH ALP TUĞAN,"Pazartesi | 08:40 - 11:30
"
COD103,B,Grafik Tasarım Araçları,Mimarlık ve Tasarım Fakültesi,5,METİN ÇAVUŞ,"Çarşamba | 08:40 - 11:30
"
COD201,A,Tasarım Stüdyosu I,Mimarlık ve Tasarım Fakültesi,8,GÖKÇE ELİF BAYKAL,"Pazartesi | 08:40 - 12:30
Perşembe | 08:40 - 12:30
"
COD201,B,Tasarım Stüdyosu I,Mimarlık ve Tasarım Fakültesi,8,GÖKÇE ELİF BAYKAL,"Pazartesi | 08:40 - 12:30
Perşembe | 08:40 - 12:30
"
COD202,A,Tasarım Stüdyosu II,Mimarlık ve Tasarım Fakültesi,8,GÖKÇE ELİF BAYKAL,"Pazartesi | 08:40 - 12:30
Perşembe | 08:40 - 12:30
"
COD203,A,Video Prodüksiyon,Mimarlık ve Tasarım Fakültesi,5,METİN ÇAVUŞ,"Salı | 08:40 - 12:30
"
COD205,A,Tipografik İletişim,Mimarlık ve Tasarım Fakültesi,5,ESER SELEN,"Çarşamba | 09:40 - 12:30
"
COD205,B,Tipografik İletişim,Mimarlık ve Tasarım Fakültesi,5,ATANUR ANDIÇ,"Çarşamba | 13:40 - 16:30
"
COD206,A,Bilgi Mimarisi,Mimarlık ve Tasarım Fakültesi,4,GÖKÇE ELİF BAYKAL,"Cuma | 09:40 - 12:30
"
COD207,A,Yaratıcı Kodlama I,Mimarlık ve Tasarım Fakültesi,5,SALİH ALP TUĞAN,"Salı | 09:40 - 12:30
"
COD207,B,Yaratıcı Kodlama I,Mimarlık ve Tasarım Fakültesi,5,SALİH ALP TUĞAN,"Salı | 13:40 - 16:30
"
COD209,A,İnteraktif Tasarım Araçları,Mimarlık ve Tasarım Fakültesi,5,SALİH ALP TUĞAN,"Pazartesi | 13:40 - 16:30
"
COD301,A,Tasarım Stüdyosu III,Mimarlık ve Tasarım Fakültesi,8,ATANUR ANDIÇ,"Pazartesi | 08:40 - 12:30
Perşembe | 08:40 - 12:30
"
COD301,B,Tasarım Stüdyosu III,Mimarlık ve Tasarım Fakültesi,8,ATANUR ANDIÇ,"Pazartesi | 08:40 - 12:30
Perşembe | 08:40 - 12:30
"
COD302,A,Tasarım Stüdyosu IV,Mimarlık ve Tasarım Fakültesi,8,ATANUR ANDIÇ,"Pazartesi | 08:40 - 12:30
Perşembe | 08:40 - 12:30
"
COD305,A,Etkileşim Tasarımı,Mimarlık ve Tasarım Fakültesi,5,GÖKÇE ELİF BAYKAL,"Çarşamba | 08:40 - 12:30
"
COD316,A,Anlatı Yapıları,Mimarlık ve Tasarım Fakültesi,3,METİN ÇAVUŞ,"Salı | 13:40 - 16:30
"
COD322,A,Tasarım İçin Rol Oynama,Mimarlık ve Tasarım Fakültesi,3,SALİH ALP TUĞAN,"Perşembe | 13:40 - 16:30
"
COD323,A,Ses Tasarımı,Mimarlık ve Tasarım Fakültesi,3,SALİH ALP TUĞAN,"Çarşamba | 13:40 - 16:30
"
COD324,A,Mobil Etkileşim Tasarımı,Mimarlık ve Tasarım Fakültesi,3,METİN ÇAVUŞ,"Çarşamba | 13:40 - 16:30
"
COD325,A,Sanal Gerçeklik Tasarımı,Mimarlık ve Tasarım Fakültesi,3,METİN ÇAVUŞ,"Cuma | 09:40 - 12:30
"
COD401,A,Tasarım Stüdyosu V,Mimarlık ve Tasarım Fakültesi,8,METİN ÇAVUŞ,"Pazartesi | 08:40 - 12:30
Perşembe | 08:40 - 12:30
"
COD401,B,Tasarım Stüdyosu V,Mimarlık ve Tasarım Fakültesi,8,SİMGE ORHUN,"Pazartesi | 08:40 - 12:30
Perşembe | 08:40 - 12:30
"
COD403,A,Etkileşimli Pazarlama,Mimarlık ve Tasarım Fakültesi,6,METİN ÇAVUŞ,"Cuma | 16:40 - 19:30
"
COD404,A,Meslek Pratiği ve Etiği,Mimarlık ve Tasarım Fakültesi,4,ESER SELEN,"Perşembe | 13:40 - 16:30
"
IDE101,A,Tasarımın Temel Prensipleri,Mimarlık ve Tasarım Fakültesi,8,DUYGU BEYKAL İZ,"Salı | 08:40 - 12:30
Cuma | 08:40 - 12:30
"
IDE101,B,Tasarımın Temel Prensipleri,Mimarlık ve Tasarım Fakültesi,8,BORA FER,"Salı | 08:40 - 12:30
